Reference, Value, Footprint, Datasheet
"Brd1","SSD1306","SSD1306:128x64OLED",""
"R1","3.3k","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical","~"
"R2","3.3k","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical","~"
"C1","220uF","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~"
"C2","220uF","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~"
"SW1","SW","Button_Switch_THT:SW_Tactile_Straight_KSA0Axx1LFTR","~"
"R3","1k","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical","~"
"C3","22nF","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~"
"U2","NJM2372D","Package_DIP:DIP-8_W7.62mm_Socket_LongPads","https://www.analog.com/media/en/technical-documentation/data-sheets/OP179_279.pdf"
"R5","20k","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical","~"
"R4","10k","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical","~"
"D1","BAT43","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"D2","BAT43","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"R6","330R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical","~"
"C4","2.2nF","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~"
"J5","OUT","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"R7","33k","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical","~"
"J1","CH1","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"D5","LED","LED_THT:LED_D3.0mm","~"
"D4","BAT43","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"D3","BAT43","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"D6","BAT43","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"D7","BAT43","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"D8","LED","LED_THT:LED_D3.0mm","~"
"J2","CH2","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"R8","33k","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical","~"
"D9","BAT43","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"D10","BAT43","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"D11","LED","LED_THT:LED_D3.0mm","~"
"J3","CH3","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"R9","33k","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical","~"
"D12","BAT43","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"D13","BAT43","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"D14","LED","LED_THT:LED_D3.0mm","~"
"J4","CH4","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"R10","33k","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical","~"
"J6","POWER","Connector_IDC:IDC-Header_2x08_P2.54mm_Vertical","~"
"U1","SeeeduinoXIAO","seeeduinoxiao:Seeeduino XIAO-MOUDLE14P-2.54-21X17.8MM",""
