Reference, Value, Footprint, Datasheet
"J8","POWER","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","~"
"D1","BAT43","Diodes_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"D2","BAT43","Diodes_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"D3","BAT43","Diodes_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"D4","BAT43","Diodes_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"D5","BAT43","Diodes_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"D6","BAT43","Diodes_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"D7","BAT43","Diodes_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"D8","BAT43","Diodes_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"D9","BAT43","Diodes_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"D10","BAT43","Diodes_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"D11","BAT43","Diodes_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"D12","BAT43","Diodes_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"R1","470R","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"R2","470R","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"R3","470R","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"R4","470R","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"R5","470R","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"R6","470R","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"J1","CH1","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"J2","CH2","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"J3","CH3","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"J4","CH4","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"J5","CH5","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"J6","CH6","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"SW1","SW_Push","digikey-footprints:Toggle_Switch_100SP1T1B4M2QE","~"
"R7","100k","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"D13","BAT43","Diodes_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"D14","BAT43","Diodes_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"R8","470R","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"J7","CLOCK_IN","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"Brd1","SSD1306","SSD1306:128x64OLED",""
"A1","Arduino_Nano_v3.x","Arduino:Arduino_Nano","http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf"
"R9","3.3k","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"R10","3.3k","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"SW2","Rotary_Encoder","digikey-footprints:Rotary_Encoder_Switched_PEC11R","~"
"C1","0.01uF","Capacitors_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"C2","0.01uF","Capacitors_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
