Reference, Value, Footprint, Datasheet
"C1","220pF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"R1","470R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"MULTI/DIV1","100K","Potentiometer_THT:Potentiometer_Alps_RK09K_Single_Vertical","~"
"C2","220pF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"R2","470R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"RATE1","100K","Potentiometer_THT:Potentiometer_Alps_RK09K_Single_Vertical","~"
"SW1","SELECT","digikey-footprints:Toggle_Switch_100SP1T1B4M2QE","~"
"J1","GATE OUT1","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"R3","470R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R4","22K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"D1","LED","LED_THT:LED_D3.0mm","~"
"D2","BAT43","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","~"
"D3","BAT43","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","~"
"J2","GATE OUT2","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"R5","470R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R6","22K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"D4","LED","LED_THT:LED_D3.0mm","~"
"D5","BAT43","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","~"
"D6","BAT43","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","~"
"J3","MASTER CLOCK OUT","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"R10","22K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"D7","LED","LED_THT:LED_D3.0mm","~"
"R7","470R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"D8","BAT43","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","~"
"D9","D","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","~"
"J4","EXTERNAL CLOCK IN","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"R8","470R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"D10","BAT43","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","~"
"D11","BAT43","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","~"
"R9","22K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"A1","Arduino_Nano_v3.x","Module:Arduino_Nano","http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf"
"J5","POWER","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","~"
