Reference, Value, Footprint, Datasheet, Code  IPC, Component Link 1 Description, Component Link 1 URL, Component Link 3 Description, Component Link 3 URL, Datasheet Version, Package Description, Package Version, category, ciiva ids, imported, library id, manufacturer, package, release date, vault revision
"A1","Arduino_Nano_v3.x","Arduino:Arduino_Nano","http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf"
"R2","3.3k","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"R1","3.3k","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"C1","1uF","Capacitors_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"J1","OUT","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"J2","CV-IN","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"R4","470R","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"D4","BAT43","Diodes_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"D3","BAT43","Diodes_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"R5","680k","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"RV1","SLIDE","Potentiometers:Potentiometer_Alps_RK09K_Horizontal","~"
"R6","470R","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"C2","220pF","Capacitors_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"SW1","Rotary_Encoder","digikey-footprints:Rotary_Encoder_Switched_PEC11R","~"
"C3","0.01uF","Capacitors_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"C4","0.01uF","Capacitors_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"J3","TRIG OUT","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"R7","470R","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"D6","BAT43","Diodes_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"D5","BAT43","Diodes_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"R8","100k","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"D8","BAT43","Diodes_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"D7","BAT43","Diodes_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"R9","470R","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"J4","SLIDE IN","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"R10","330R","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"R11","330R","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"R12","330R","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"D9","LED_RGBC","digikey-footprints:LED_RGB_WP154A4SUREQBFZGC","~"
"SW2","SLIDE SW","digikey-footprints:Switch_Toggle_ATE1D-2M3-10-Z","~"
"D1","BAT34","Diodes_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"D2","BAT34","Diodes_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"R3","470R","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"J0","POWER","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","~"
"U1","MCP4726","digikey-footprints:SOT-23-6","http://ww1.microchip.com/downloads/en/DeviceDoc/22272B.pdf","SOT26A-6","Manufacturer URL","http://www.microchip.com/","Package Specification","http://www.microchip.com/stellent/groups/techpub_sg/documents/packagingspec/en012702.pdf","revB, Sep-2011","6-Lead Plastic Small Outline Transistor (CH) [SOT-23]","revBB, Aug-2009","IC","2557234","yes","9a671895f9d52d73","Microchip","SOT-23-CH6","1331948549","079106DF-D074-49D1-8764-4E282EC11F01"
