Reference, Value, Footprint, Datasheet, Category, DK_Datasheet_Link, DK_Detail_Page, Description, Digi-Key_PN, Family, MPN, Manufacturer, Status
"U1","SSM2044","Package_SO:SSOP-16_3.9x4.9mm_P0.635mm","http://www.soundsemiconductor.com/downloads/ssi2144datasheet.pdf"
"J1","Audio_IN","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"C1","2.2uF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"R1","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"U2","TL072CP","digikey-footprints:DIP-8_W7.62mm","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftl071a","Integrated Circuits (ICs)","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftl071a","/product-detail/en/texas-instruments/TL072CP/296-1775-5-ND/277421","IC OPAMP JFET 2 CIRCUIT 8DIP","296-1775-5-ND","Linear - Amplifiers - Instrumentation, OP Amps, Buffer Amps","TL072CP","Texas Instruments","Active"
"C2","22pF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"R2","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R3","47k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R4","220R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"J2","RES_CV","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"R5","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"D1","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"R6","30k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"RV1","100k","Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical","~"
"J3","OUT","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"C3","2.2uF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"R7","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"C4","22pF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"R8","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"RV2","100k","Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical","~"
"C5","820pF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"C6","10nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"R9","220R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R10","470k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"RV3","100k","Potentiometer_THT:Potentiometer_Runtron_RM-065_Vertical","~"
"C7","10nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"C8","10nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"RV4","100k","Potentiometer_THT:Potentiometer_Runtron_RM-065_Vertical","~"
"R11","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R12","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R13","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"U3","TL072CP","digikey-footprints:DIP-8_W7.62mm","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftl071a","Integrated Circuits (ICs)","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftl071a","/product-detail/en/texas-instruments/TL072CP/296-1775-5-ND/277421","IC OPAMP JFET 2 CIRCUIT 8DIP","296-1775-5-ND","Linear - Amplifiers - Instrumentation, OP Amps, Buffer Amps","TL072CP","Texas Instruments","Active"
"R14","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R15","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R16","33k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"RV5","10k","Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical","~"
"R17","4.7k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"J4","FREQ_CV","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"C9","0.1uF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"C10","10uF","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~"
"C11","0.1uF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"C12","10uF","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~"
"J5","EURO_POWER","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","~"
